observacao_id,observacao_data,coord_sistema,relevo_elevacao,coord_x,coord_y,coord_precisao,coord_fonte,pais_id,estado_id,municipio_id,amostra_tipo,amostra_quanti,amostra_area,taxon_sibcs_2006,relevo_local,relevo_declividade,relevo_posicao
#metadado>,Data da observação,Sistema de referência de coordenadas,Altitude,Este,Norte,Precisão das coordenadas,Fonte das coordenadas,País,Unidade federativa,Município,Tipo de amostragem,Quantidade de subamostras,Área amostral,Classificação taxonômica SiBCS 2006,Relevo,Declividade,Posição de paisagem
#metadado>,-,-,m,m,m,m,-,-,-,-,-,-,m^2,-,-,%,-
B1,xx-xx-2011,EPSG:29192,-,-,-,-,-,BR,PR,Bela Vista do Paraíso,Simples,1,"2,00","Latossolo Vermelho Distrófico típico, textura média/argilosa, A moderado",suave ondulado,4,Topo
B2,xx-xx-2011,EPSG:29192,609,481.641,7.457.538,15,GPS,BR,PR,Bela Vista do Paraíso,Simples,1,"2,00","Latossolo Vermelho Distrófico típico, textura média, A moderado",plano,1,Topo
B3,xx-xx-2011,EPSG:29192,618,480.370,7.455.643,15,GPS,BR,PR,Bela Vista do Paraíso,Simples,1,"2,00","Latossolo Vermelho Distrófico típico, textura média, A moderado",suave ondulado,5,Terço superior
B4,xx-xx-2011,EPSG:29192,620,480.711,7.454.363,15,GPS,BR,PR,Bela Vista do Paraíso,Simples,1,"2,00","Latossolo Vermelho Distrófico típico, textura média, A moderado",plano,2,Topo
B5,xx-xx-2011,EPSG:29192,618,481.993,7.450.344,15,GPS,BR,PR,Bela Vista do Paraíso,Simples,1,"2,00","Latossolo Vermelho Eutroférrico típico, textura argilosa, A moderado",suave ondulado,5,Topo
B6,xx-xx-2011,EPSG:29192,454,464.621,7.450.098,15,GPS,BR,PR,Bela Vista do Paraíso,Simples,1,"2,00","Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",plano,2,Terço superior
B7,xx-xx-2011,EPSG:29192,421,469.859,7.455.447,15,GPS,BR,PR,Bela Vista do Paraíso,Simples,1,"2,00","Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",plano,-,Topo
B8,xx-xx-2011,EPSG:29192,427,471.780,7.453.316,15,GPS,BR,PR,Bela Vista do Paraíso,Simples,1,"2,00","Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",suave ondulado,6,Terço superior
B9,xx-xx-2011,EPSG:29192,461,471.379,7.457.618,15,GPS,BR,PR,Bela Vista do Paraíso,Simples,1,"2,00","Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",suave ondulado,5,Terço superior
B10,xx-xx-2011,EPSG:29192,404,467.374,7.460.831,15,GPS,BR,PR,Bela Vista do Paraíso,Simples,1,"2,00","Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",plano,1,Topo
B11,xx-xx-2011,EPSG:29192,413,470.507,7.463.681,15,GPS,BR,PR,Bela Vista do Paraíso,Simples,1,"2,00","Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",plano,1,Topo
B12,xx-xx-2011,EPSG:29192,553,477.080,7.460.197,15,GPS,BR,PR,Bela Vista do Paraíso,Simples,1,"2,00","Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",plano,1,Topo
B13,xx-xx-2011,EPSG:29192,560,477.000,7.458.000,15,GPS,BR,PR,Bela Vista do Paraíso,Simples,1,"2,00","Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",suave ondulado,6,Topo
B14,xx-xx-2011,EPSG:29192,560,482.722,7.468.918,15,GPS,BR,PR,Bela Vista do Paraíso,Simples,1,"2,00","Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,15,Terço inferior
B15,xx-xx-2011,EPSG:29192,575,482.376,7.461.944,15,GPS,BR,PR,Bela Vista do Paraíso,Simples,1,"2,00","Chernossolo Háplico Férrico típico, textura argilosa, A chernozêmico",plano,1,Topo
B16,xx-xx-2011,EPSG:29192,589,479.180,7.438.038,15,GPS,BR,PR,Bela Vista do Paraíso,Simples,1,"2,00","Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",suave ondulado,8,Terço superior
B17,xx-xx-2011,EPSG:29192,543,478.690,7.442.400,15,GPS,BR,PR,Bela Vista do Paraíso,Simples,1,"2,00","Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",suave ondulado,7,Terço médio
B18,xx-xx-2011,EPSG:29192,461,481.401,7.464.356,15,GPS,BR,PR,Bela Vista do Paraíso,Simples,1,"2,00","Chernossolo Háplico Férrico típico, textura argilosa, A chernozêmico",ondulado,14,Terço médio
B19,xx-xx-2011,EPSG:29192,510,-,-,-,-,BR,PR,Bela Vista do Paraíso,Simples,1,"2,00","Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",suave ondulado,7,Terço médio
B20,xx-xx-2011,EPSG:29192,525,-,-,-,-,BR,PR,Bela Vista do Paraíso,Simples,1,"2,00","Latossolo Vermelho Distrófico típico, textura média, A moderado",plano,1,Topo
B21,xx-xx-2011,EPSG:29192,505,-,-,-,-,BR,PR,Bela Vista do Paraíso,Simples,1,"2,00","Neossolo Regolítico Eutrófico típico, textura argilosa, A moderado",ondulado,18,Terço médio-inferior
