observacao_id,camada_id,camada_nome,amostra_id,profund_sup,profund_inf,areia_xxx_xxx,silte_xxx_xxx,argila_xxx_xxx,fosforo_xxx_xxx,carbono_xxx_xxx_xxx,ph_h2o_xxx_xxx,aluminio_kcl_xxx,acidez_potencial_xxx,calcio_trocavel_xxx,magnesio_trocavel_xxx,potassio_trocavel_xxx,bases_soma,ctc_xxx_xxx,bases_saturacao,aluminio_saturacao_calc
#metadado>,Identificação da camada,Horizonte,Código da amostra,Profundidade superior,Profundidade inferior,Areia total,Silte total,Argila total,P,Carbono orgânico,pH,Al,H+Al,Ca,Mg,K,SB - soma de bases,CTC - capacidade de troca catiônica,V - Saturação por bases,m - Saturação por Al
#metadado>,-,-,-,cm,cm,dag/kg,dag/kg,dag/kg,mg/dm^3,dag/dm^3,-,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,%,%
C1,1,Ap,1,0,20,11,12,77,"66,80","1,93","4,1","1,38","10,45","2,35","0,69","0,10","3,14","13,59",23,31
C1,2,Bw,1,60,80,12,11,77,"1,60","1,14","4,3","0,93","8,35","1,70","0,41","0,03","2,14","10,49",20,30
C2,1,Ap,1,0,20,11,17,72,"1,00","2,02","5,1","0,00","5,34","6,07","3,00","0,35","9,42","14,76",64,0
C2,2,Bw,1,60,80,8,11,81,"0,70","0,71","5,6","0,00","3,68","4,35","1,72","0,05","6,12","9,8",62,0
C3,1,Ap,1,0,20,8,15,77,"20,50","1,81","5,1","0,00","5,34","5,95","1,56","0,33","7,84","13,18",59,0
C3,2,Bw,1,60,80,7,13,80,"2,10","1,01","4,6","0,49","7,20","2,00","1,23","0,12","3,35","10,55",32,13
C4,1,Ap,1,0,20,21,31,48,"1,60","2,78","5,1","0,00","6,20","9,17","5,18","0,68","15,03","21,23",71,0
C5,1,Ap,1,0,20,14,22,64,"0,90","2,63","4,9","0,03","6,68","7,22","2,01","0,33","9,56","16,24",59,0
C5,2,Bt,1,40,60,10,12,78,"3,90","0,64","5,4","0,00","3,97","7,07","1,15","0,07","8,29","12,26",68,0
C6,1,Ap,1,0,20,9,19,72,"18,50","1,70","5,3","0,00","4,60","6,30","2,59","0,56","9,45","14,05",67,0
