observacao_id,camada_id,camada_nome,amostra_id,profund_sup,profund_inf,areia_xxx_xxx,silte_xxx_xxx,argila_xxx_xxx,fosforo_xxx_xxx,carbono_xxx_xxx_xxx,ph_h2o_xxx_xxx,aluminio_kcl_xxx,acidez_potencial_xxx,calcio_trocavel_xxx,magnesio_trocavel_xxx,potassio_trocavel_xxx,bases_soma,ctc_xxx_xxx,bases_saturacao,aluminio_saturacao_calc
#metadado>,Identificação da camada,Horizonte,Código da amostra,Profundidade superior,Profundidade inferior,Areia total,Silte total,Argila total,P,Carbono orgânico,pH,Al,H+Al,Ca,Mg,K,SB - soma de bases,CTC - capacidade de troca catiônica,V - Saturação por bases,m - Saturação por Al
#metadado>,-,-,-,cm,cm,dag/kg,dag/kg,dag/kg,mg/dm^3,dag/dm^3,-,cmol/dm^3,cmol/dm^3,cmol/dm^3,cmol/dm^3,cmol/dm^3,cmol/dm^3,cmol/dm^3,%,%
B2,1,Ap,,0,20,81,3,16,"44,4","10,83","5,5","0,0","3,17","2,82","1,35","0,33","4,50","7,67",59,0
B2,2,Bw,,50,70,67,2,31,"2,0","4,01","4,4","0,5","4,60","1,15","0,78","0,07","2,00","6,60",30,20
B3,1,Ap,,0,20,79,3,18,"5,0","10,98","4,7","0,1","5,34","2,35","0,98","0,12","3,45","8,79",39,3
B3,2,Bw,,40,60,66,2,32,"1,3","4,28","5,0","0,0","3,68","2,10","0,82","0,18","3,10","6,78",46,0
B4,1,Ap,,0,20,78,4,18,"13,2","14,14","5,8","0,0","2,94","4,02","1,43","0,56","6,01","8,95",67,0
B4,2,Bw,,130,150,67,2,31,"0,7","4,59","4,1","1,1","5,34","0,60","0,28","0,10","0,98","6,32",16,53
B5,1,Ap,,0,20,21,8,71,"24,8","15,23","5,1","0,0","5,76","5,42","1,27","0,30","6,99","12,75",55,0
B5,2,Bw,,50,70,16,8,76,"1,6","7,20","4,9","0,5","4,96","2,75","0,98","0,10","3,83","8,79",44,1
B6,1,Ap,,0,20,18,13,69,"7,9","16,75","5,0","0,0","5,34","6,45","1,93","0,33","8,71","14,05",62,0
B6,2,Bw,,50,70,11,8,81,"2,5","6,11","5,6","0,0","3,68","5,45","1,68","0,07","7,20","10,88",66,0
B7,1,Ap,,0,20,12,12,76,"19,8","10,16","5,3","0,0","4,27","4,45","1,89","0,59","6,93","11,20",62,0
B7,2,Bw,,50,70,11,9,80,"1,8","4,98","5,3","0,0","3,97","3,97","0,90","0,10","4,97","8,94",56,0
B9,1,Ap,,0,20,16,20,64,"10,7","17,99","5,4","0,0","4,96","11,30","2,46","0,38","14,14","19,10",74,0
B9,2,Bw,,50,70,8,12,80,"2,2","3,81","5,8","0,0","3,42","9,42","2,01","0,07","11,50","14,92",77,0
B10,1,Ap,,0,20,15,15,70,"5,6","19,28","5,0","0,0","5,34","6,85","2,42","0,27","9,54","14,88",64,0
B10,2,Bw,,50,70,8,8,84,"1,1","5,37","5,4","0,0","3,68","5,95","1,85","0,05","7,85","11,53",68,0
B11,1,Ap,,0,20,22,16,62,"16,6","21,11","5,7","0,0","4,27","11,52","3,16","1,35","16,03","20,30",79,0
B11,2,Bw,,50,70,14,10,76,"2,7","6,74","6,1","0,0","2,94","9,70","2,87","0,27","12,84","15,78",81,0
B15,1,Ap,,0,20,21,16,63,"19,7","22,63","5,1","0,0","5,76","8,22","2,38","1,05","11,65","17,41",67,0
B15,2,Bw,,50,70,12,9,79,"2,9","3,03","4,6","0,4","6,20","5,87","1,48","0,12","7,47","13,67",55,5
B16,1,Ap,,0,20,20,18,62,"7,3","15,03","5,4","0,0","4,96","8,52","2,42","0,44","11,38","16,34",70,0
B16,2,Bw,,50,70,8,8,84,"1,2","6,19","5,5","0,0","4,27","7,70","1,97","0,10","9,77","14,04",70,0
B17,1,Ap,,0,20,11,14,75,"13,8","15,66","5,4","0,0","5,34","7,57","1,72","0,33","9,62","14,96",64,0
B17,2,Bw,,50,70,7,10,83,"2,0","6,23","5,7","0,0","3,68","5,67","1,31","0,07","7,05","10,73",66,0
B18,1,Ap,,0,20,37,22,41,"2,7","24,03","5,4","0,0","5,34","16,62","5,42","0,38","22,42","27,76",81,0
B18,2,Bt,,40,60,27,14,59,"0,8","7,71","5,8","0,0","3,97","20,02","8,06","0,23","28,31","32,28",88,0
B23,1,Ap,,0,31,56,8,36,"29,0","9,80","5,6","0,0","4,10","0,90","0,90","0,47","2,27","6,37",36,0
B23,2,Bw1,,65,90,46,8,46,"5,0","4,90","4,8","0,6","4,80","0,40","0,40","0,13","0,93","5,73",16,39
B24,1,Ap,,0,17,19,16,65,"28,0","16,50","6,4","0,0","3,20","4,00","1,40","0,54","5,94","9,14",65,0
B24,2,Bw1,,53,126,15,11,74,"6,0","3,50","6,9","0,0","1,20","2,30","1,10","0,03","3,43","4,63",74,0
B25,1,Ap,,0,14,9,32,59,"7,0","18,50","6,4","0,0","3,80","15,00","3,20","0,68","18,88","22,68",83,0
B25,2,Bt2,,44,90,4,17,79,"2,0","5,00","5,2","0,4","3,90","7,50","4,30","0,05","11,85","15,75",75,3
