"coord_x","coord_y","relevo_local","relevo_elevacao","relevo_declividade","relevo_posicao","taxon"
486313,7399817,"forte ondulado",530,40,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
485894,7399144,"ondulado",608,12,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
488251,7395608,"ondulado",517,10,"terço médio","Latossolo Vermelho Eutroférrico típico"
492676,7398296,"ondulado",580,14,"terço superior","Latossolo Vermelho Distroférrico típico"
492602,7397933,"ondulado",543,17,"terço inferior","Nitossolo Vermelho Distroférrico típico"
494609,7398140,"plano",585,2,"topo","Latossolo Vermelho Eutroférrico típico"
496652,7394960,"forte ondulado",502,61,"terço inferior","Neossolo Regolítico Ta Eutrófico típico"
491437,7395172,"ondulado",554,12,"terço médio","Latossolo Vermelho Distroférrico típico"
505013,7375138,"suave ondulado",569,5,"terço superior","Latossolo Vermelho Distroférrico típico"
491507,7389296,"montanhoso",600,24,"terço médio","Neossolo Litólico Eutrófico típico"
490775,7387577,"forte ondulado",660,25,"terço médio","Neossolo Regolítico Eutrófico típico"
490573,7387384,"ondulado",717,9,"terço inferior","Nitossolo Vermelho Eutroférrico léptico"
491348,7384959,"ondulado",660,14,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
491770,7383358,"suave ondulado",761,5,"terço superior","Latossolo Vermelho Distroférrico típico"
495589,7387117,"suave ondulado",703,3,"terço superior","Latossolo Vermelho Distroférrico típico"
484599,7398367,"ondulado",500,9,"terço superior","Nitossolo Vermelho Eutroférrico típico"
481005,7397000,"ondulado",574,9,"terço médio","Latossolo Vermelho Eutroférrico típico"
481178,7397081,"plano",440,0,"baixada","Gleissolo Melânico Distrófico típico"
478440,7395311,"suave ondulado",520,7,"terço superior","Latossolo Vermelho Eutroférrico típico"
478185,7392247,"forte ondulado",562,20,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
480560,7388272,"suave ondulado",600,5,"terço superior","Latossolo Vermelho Eutroférrico típico"
480365,7385484,"suave ondulado",802,3,"terço superior","Latossolo Vermelho Eutroférrico típico"
478943,7385025,"plano",660,0,"baixada","Cambissolo Flúvico Eutrófico típico"
479224,7384962,"montanhoso",727,61,"cabeceira","Neossolo Regolítico Ta Eutrófico típico"
479007,7380417,"ondulado",660,12,"terço inferior","Latossolo Vermelho Distroférrico típico"
478596,7378933,"ondulado",640,16,"terço médio","Latossolo Vermelho Distroférrico típico"
478468,7378870,"forte ondulado",640,25,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
472933,7396336,"ondulado",665,11,"terço médio","Nitossolo Vermelho Eutroférrico típico"
491669,7407301,"suave ondulado",423,5,"terço superior","Latossolo Vermelho Eutroférrico típico"
505355,7408366,"plano",448,1,"topo","Latossolo Vermelho Eutroférrico típico"
472032,7410744,"ondulado",593,20,"terço médio","Cambissolo Háplico Tb Eutrófico léptico"
503621,7416660,"ondulado",480,16,"terço médio","Latossolo Vermelho Eutroférrico nitossólico"
473800,7398301,"ondulado",624,13,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
490775,7378836,"suave ondulado",703,5,"terço superior","Latossolo Vermelho Distroférrico típico"
505013,7391800,"plano",593,2,"topo","Latossolo Vermelho Distroférrico típico"
488251,7398140,"ondulado",574,9,"terço superior","Neossolo Regolítico Ta Eutrófico típico"
471699,7394421,"ondulado",624,14,"terço médio","Nitossolo Vermelho Eutroférrico típico"
491507,7392247,"suave ondulado",593,4,"terço superior","Latossolo Vermelho Distroférrico típico"
500936,7377440,"plano",709,2,"terço superior","Latossolo Vermelho Distroférrico típico"
493988,7380417,"plano",660,1,"topo","Latossolo Vermelho Distroférrico típico"
491669,7412219,"ondulado",466,16,"cabeceira","Nitossolo Vermelho Eutroférrico típico"
501332,7374707,"ondulado",727,9,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
473649,7394421,"ondulado",548,9,"terço superior","Nitossolo Vermelho Eutroférrico típico"
473546,7394794,"ondulado",562,10,"terço superior","Nitossolo Vermelho Eutroférrico latossólico"
473800,7396336,"ondulado",612,12,"terço superior","Nitossolo Vermelho Eutroférrico típico"
472933,7397328,"ondulado",665,12,"terço médio","Nitossolo Vermelho Eutroférrico típico"
471699,7398301,"forte ondulado",599,40,"terço médio","Nitossolo Vermelho Eutroférrico típico"
470336,7400368,"ondulado",710,13,"terço superior","Latossolo Vermelho Distroférrico típico"
470800,7402214,"plano",719,2,"topo","Latossolo Vermelho Eutroférrico típico"
488465,7379028,"suave ondulado",792,5,"terço superior","Latossolo Vermelho Distroférrico típico"
491156,7378836,"suave ondulado",786,5,"terço superior","Latossolo Vermelho Distroférrico típico"
490742,7377974,"ondulado",744,18,"terço inferior","Latossolo Vermelho Distroférrico típico"
490565,7377882,"plano",727,2,"baixada","Gleissolo Melânico"
493988,7378851,"suave ondulado",786,4,"terço superior","Latossolo Vermelho Distroférrico típico"
496494,7378567,"ondulado",802,9,"topo","Neossolo Litólico Eutrófico fragmentário"
496394,7378732,"ondulado",771,19,"topo","Nitossolo Vermelho Eutroférrico típico"
500396,7378228,"suave ondulado",802,3,"terço superior","Latossolo Vermelho Distroférrico típico"
500851,7377291,"ondulado",778,12,"terço inferior","Latossolo Vermelho Distroférrico típico"
501422,7377440,"forte ondulado",717,24,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
504041,7376520,"ondulado",709,16,"terço inferior","Nitossolo Vermelho Eutroférrico léptico"
504032,7376569,"montanhoso",697,48,"terço inferior","Neossolo Litólico Eutrófico fragmentário"
505013,7375138,"forte ondulado",728,26,"terço inferior","Neossolo Regolítico Eutrófico fragmentário"
507562,7375129,"ondulado",661,20,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
509272,7374707,"montanhoso",569,24,"terço inferior","Neossolo Regolítico Eutrófico fragmentário"
500936,7378911,"suave ondulado",778,4,"terço superior","Latossolo Vermelho Distroférrico típico"
504125,7381695,"plano",606,2,"baixada","Gleissolo Melânico"
504056,7385283,"plano",623,0,"topo","Nitossolo Vermelho Distroférrico típico"
503191,7389283,"suave ondulado",562,7,"terço superior","Latossolo Vermelho Distroférrico típico"
501100,7390322,"suave ondulado",593,3,"terço superior","Latossolo Vermelho Distroférrico típico"
497417,7397812,"plano",502,0,"topo","Gleissolo Melânico"
498077,7397714,"suave ondulado",485,5,"terço superior","Latossolo Vermelho Distroférrico típico"
497959,7398484,"suave ondulado",438,7,"terço inferior","Latossolo Vermelho Eutroférrico nitossólico"
500646,7391800,"suave ondulado",546,8,"terço médio","Latossolo Vermelho Eutroférrico típico"
501808,7391827,"suave ondulado",593,5,"terço superior","Latossolo Vermelho Distroférrico típico"
502609,7394553,"forte ondulado",571,40,"terço inferior","Neossolo Regolítico Eutrófico fragmentário"
502338,7396714,"ondulado",502,9,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
495972,7401069,"ondulado",502,9,"terço médio","Latossolo Vermelho Eutroférrico típico"
505355,7402613,"ondulado",449,16,"terço inferior","Neossolo Regolítico Eutrófico fragmentário"
503980,7403881,"ondulado",448,13,"terço inferior","Chernossolo Háplico Férrico típico"
501332,7404352,"suave ondulado",448,7,"topo","Latossolo Vermelho Eutroférrico típico"
503621,7408366,"ondulado",416,15,"terço médio","Nitossolo Vermelho Eutroférrico típico"
469216,7409055,"ondulado",631,13,"terço inferior","Latossolo Vermelho Eutroférrico nitossólico"
470495,7409184,"forte ondulado",593,26,"terço inferior","Latossolo Vermelho Eutroférrico típico"
471956,7409374,"suave ondulado",624,6,"terço superior","Latossolo Vermelho Eutroférrico típico"
472032,7407659,"plano",667,0,"topo","Latossolo Vermelho Eutroférrico típico"
470994,7407346,"ondulado",617,20,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
