"coord_x","coord_y","relevo_local","relevo_elevacao","relevo_declividade","relevo_posicao","taxon"
486313,7399817,"forte ondulado",530,NA,NA,"Nitossolo Vermelho Eutroférrico típico"
485894,7399144,"ondulado",608,12,NA,"Nitossolo Vermelho Eutroférrico típico"
488251,7395608,"ondulado",517,10,NA,"Latossolo Vermelho Eutroférrico típico"
492676,7398296,"ondulado",580,NA,NA,"Latossolo Vermelho Distroférrico típico"
492602,7397933,"ondulado",543,17,"terço inferior","Nitossolo Vermelho Distroférrico típico"
494609,7398140,"plano",585,2,NA,"Latossolo Vermelho Eutroférrico típico"
496652,7394960,"forte ondulado",NA,NA,NA,"Neossolo Regolítico Ta Eutrófico típico"
491437,7395172,"ondulado",554,12,NA,"Latossolo Vermelho Distroférrico típico"
NA,NA,"suave ondulado",NA,NA,NA,"Latossolo Vermelho Distroférrico típico"
491507,7389296,"montanhoso",600,NA,NA,"Neossolo Litólico Eutrófico típico"
490775,7387577,"forte ondulado",NA,NA,NA,"Neossolo Regolítico Eutrófico típico"
490573,7387384,"ondulado",NA,9,NA,"Nitossolo Vermelho Eutroférrico léptico"
491348,7384959,"ondulado",NA,14,NA,"Nitossolo Vermelho Eutroférrico típico"
491770,7383358,"suave ondulado",761,5,NA,"Latossolo Vermelho Distroférrico típico"
495589,7387117,"suave ondulado",703,3,NA,"Latossolo Vermelho Distroférrico típico"
484599,7398367,"ondulado",500,9,NA,"Nitossolo Vermelho Eutroférrico típico"
481005,7397000,"ondulado",574,9,NA,"Latossolo Vermelho Eutroférrico típico"
481178,7397081,"plano",440,0,"baixada","Gleissolo Melânico Distrófico típico"
478440,7395311,"suave ondulado",520,7,NA,"Latossolo Vermelho Eutroférrico típico"
478185,7392247,"forte ondulado",NA,20,NA,"Nitossolo Vermelho Eutroférrico típico"
480560,7388272,"suave ondulado",600,5,NA,"Latossolo Vermelho Eutroférrico típico"
480365,7385484,"suave ondulado",NA,3,NA,"Latossolo Vermelho Eutroférrico típico"
478943,7385025,"plano",NA,0,"baixada","Cambissolo Flúvico Eutrófico típico"
479224,7384962,"montanhoso",NA,61,NA,"Neossolo Regolítico Ta Eutrófico típico"
479007,7380417,"ondulado",660,NA,NA,"Latossolo Vermelho Distroférrico típico"
478596,7378933,"ondulado",640,16,"terço médio","Latossolo Vermelho Distroférrico típico"
478468,7378870,"forte ondulado",NA,25,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
NA,NA,"ondulado",NA,11,"terço médio","Nitossolo Vermelho Eutroférrico típico"
NA,NA,"suave ondulado",NA,5,"terço superior","Latossolo Vermelho Eutroférrico típico"
NA,NA,"plano",NA,1,"topo","Latossolo Vermelho Eutroférrico típico"
NA,NA,"ondulado",NA,NA,"terço médio","Cambissolo Háplico Tb Eutrófico léptico"
NA,NA,"ondulado",NA,16,"terço médio","Latossolo Vermelho Eutroférrico nitossólico"
NA,NA,"ondulado",NA,13,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
NA,NA,"suave ondulado",NA,5,"terço superior","Latossolo Vermelho Distroférrico típico"
NA,NA,"plano",NA,2,"topo","Latossolo Vermelho Distroférrico típico"
NA,NA,"ondulado",NA,9,"terço superior","Neossolo Regolítico Ta Eutrófico típico"
NA,NA,"ondulado",NA,14,"terço médio","Nitossolo Vermelho Eutroférrico típico"
NA,NA,"suave ondulado",NA,4,"terço superior","Latossolo Vermelho Distroférrico típico"
NA,NA,"plano",NA,2,"terço superior","Latossolo Vermelho Distroférrico típico"
NA,NA,"plano",NA,1,"topo","Latossolo Vermelho Distroférrico típico"
NA,NA,"ondulado",NA,16,"cabeceira","Nitossolo Vermelho Eutroférrico típico"
NA,NA,"ondulado",NA,9,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
473649,7394421,"ondulado",548,NA,"terço superior","Nitossolo Vermelho Eutroférrico típico"
473546,7394794,"ondulado",562,10,"terço superior","Nitossolo Vermelho Eutroférrico latossólico"
473800,7396336,"ondulado",612,NA,NA,"Nitossolo Vermelho Eutroférrico típico"
472933,7397328,"ondulado",665,NA,NA,"Nitossolo Vermelho Eutroférrico típico"
471699,7398301,"forte ondulado",599,NA,NA,"Nitossolo Vermelho Eutroférrico típico"
470336,7400368,"ondulado",710,13,"terço superior","Latossolo Vermelho Distroférrico típico"
470800,7402214,"plano",719,2,"topo","Latossolo Vermelho Eutroférrico típico"
488465,7379028,"suave ondulado",792,5,NA,"Latossolo Vermelho Distroférrico típico"
491156,7378836,"suave ondulado",786,NA,NA,"Latossolo Vermelho Distroférrico típico"
490742,7377974,"ondulado",744,18,"terço inferior","Latossolo Vermelho Distroférrico típico"
490565,7377882,"plano",727,2,NA,"Gleissolo Melânico"
493988,7378851,"suave ondulado",786,NA,NA,"Latossolo Vermelho Distroférrico típico"
496494,7378567,"ondulado",802,NA,NA,"Neossolo Litólico Eutrófico fragmentário"
496394,7378732,"ondulado",771,19,"topo","Nitossolo Vermelho Eutroférrico típico"
500396,7378228,"suave ondulado",802,NA,NA,"Latossolo Vermelho Distroférrico típico"
500851,7377291,"ondulado",778,12,NA,"Latossolo Vermelho Distroférrico típico"
501422,7377440,"forte ondulado",717,24,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
504041,7376520,"ondulado",709,NA,NA,"Nitossolo Vermelho Eutroférrico léptico"
504032,7376569,"montanhoso",697,48,NA,"Neossolo Litólico Eutrófico fragmentário"
505013,7375138,"forte ondulado",728,NA,NA,"Neossolo Regolítico Eutrófico fragmentário"
507562,7375129,"ondulado",661,20,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
509272,7374707,"montanhoso",569,NA,NA,"Neossolo Regolítico Eutrófico fragmentário"
500936,7378911,"suave ondulado",778,4,"terço superior","Latossolo Vermelho Distroférrico típico"
504125,7381695,"plano",606,NA,NA,"Gleissolo Melânico"
504056,7385283,"plano",623,NA,"topo","Nitossolo Vermelho Distroférrico típico"
503191,7389283,"suave ondulado",562,NA,"terço superior","Latossolo Vermelho Distroférrico típico"
501100,7390322,"suave ondulado",593,NA,NA,"Latossolo Vermelho Distroférrico típico"
497417,7397812,"plano",NA,NA,NA,"Gleissolo Melânico"
498077,7397714,"suave ondulado",485,NA,"terço superior","Latossolo Vermelho Distroférrico típico"
497959,7398484,"suave ondulado",438,NA,"terço inferior","Latossolo Vermelho Eutroférrico nitossólico"
500646,7391800,"suave ondulado",546,8,"terço médio","Latossolo Vermelho Eutroférrico típico"
501808,7391827,"suave ondulado",593,NA,"terço superior","Latossolo Vermelho Distroférrico típico"
502609,7394553,"forte ondulado",571,40,NA,"Neossolo Regolítico Eutrófico fragmentário"
502338,7396714,"ondulado",502,9,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
495972,7401069,"ondulado",502,9,"terço médio","Latossolo Vermelho Eutroférrico típico"
