observacao_id,observacao_data,coord_sistema,coord_x,coord_y,coord_precisao,coord_fonte,pais_id,estado_id,municipio_id,amostra_tipo,amostra_quanti,amostra_area,taxon_sibcs_2006,relevo_local,relevo_elevacao,relevo_declividade,relevo_posicao
#metadado>,Data da observação,Sistema de referência de coordenadas,Longitude,Latitude,Precisão das coordenadas,Fonte das coordenadas,País,Unidade federativa,Município,Tipo de amostragem,Quantidade de subamostras,Área amostral,Classificação do solo,Classe de relevo local,Elevação acima do nível do mar,Declividade,Posição na paisagem
#metadado>,-,-,m,m,m,-,-,-,-,-,-,m^2,-,-,m,%,-
L1,xx-xx-2011,EPSG:29192,486.313,7.399.817,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",forte ondulado,530,-,-
L2,xx-xx-2011,EPSG:29192,485.894,7.399.144,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,608,12,-
L3,xx-xx-2011,EPSG:29192,488.251,7.395.608,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,517,10,-
L4,xx-xx-2011,EPSG:29192,492.676,7.398.296,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",ondulado,580,-,-
L5,xx-xx-2011,EPSG:29192,492.602,7.397.933,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",ondulado,543,17,terço inferior
L6,xx-xx-2011,EPSG:29192,494.609,7.398.140,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",plano,585,2,-
L7,xx-xx-2011,EPSG:29192,496.652,7.394.960,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Neossolo Regolítico Ta Eutrófico típico, textura argilosa cascalhenta, A chernozêmico, fase pedregosa",forte ondulado,-,-,-
L8,xx-xx-2011,EPSG:29192,491.437,7.395.172,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",ondulado,554,12,-
L9,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",suave ondulado,-,-,-
L10,xx-xx-2011,EPSG:29192,491.507,7.389.296,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Neossolo Litólico Eutrófico típico, textura argilosa cascalhenta, fase pedregosa",montanhoso,600,-,-
L11,xx-xx-2011,EPSG:29192,490.775,7.387.577,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Neossolo Regolítico Eutrófico típico, textura média, A chernozêmico",forte ondulado,-,-,-
L12,xx-xx-2011,EPSG:29192,490.573,7.387.384,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico léptico, textura muito argilosa, A moderado",ondulado,-,9,-
L13,xx-xx-2011,EPSG:29192,491.348,7.384.959,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,-,14,-
L14,xx-xx-2011,EPSG:29192,491.770,7.383.358,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",suave ondulado,761,5,-
L15,xx-xx-2011,EPSG:29192,495.589,7.387.117,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",suave ondulado,703,3,-
L16,xx-xx-2011,EPSG:29192,484.599,7.398.367,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,500,9,-
L17,xx-xx-2011,EPSG:29192,481.005,7.397.000,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,574,9,-
L18,xx-xx-2011,EPSG:29192,481.178,7.397.081,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Gleissolo Melânico Distrófico típico, textura argilosa, fase soterrada",plano,440,0,baixada
L19,xx-xx-2011,EPSG:29192,478.440,7.395.311,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",suave ondulado,520,7,-
L20,xx-xx-2011,EPSG:29192,478.185,7.392.247,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",forte ondulado,-,20,-
L21,xx-xx-2011,EPSG:29192,480.560,7.388.272,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",suave ondulado,600,5,-
L22,xx-xx-2011,EPSG:29192,480.365,7.385.484,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",suave ondulado,-,3,-
L23,xx-xx-2011,EPSG:29192,478.943,7.385.025,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Cambissolo Flúvico Eutrófico típico, textura argilosa, A moderado",plano,-,0,baixada
L24,xx-xx-2011,EPSG:29192,479.224,7.384.962,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Neossolo Regolítico Ta Eutrófico típico, textura argilosa cascalhenta, A chernozêmico, fase substrato eruptiva",montanhoso,-,61,-
L25,xx-xx-2011,EPSG:29192,479.007,7.380.417,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Distroférrico típico, textura argilosa, A moderado",ondulado,660,-,-
L26,xx-xx-2011,EPSG:29192,478.596,7.378.933,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",ondulado,640,16,terço médio
L27,xx-xx-2011,EPSG:29192,478.468,7.378.870,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",forte ondulado,-,25,terço inferior
L28,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,-,11,terço médio
L29,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",suave ondulado,-,5,terço superior
L30,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",plano,-,1,topo
L31,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,Cambissolo Háplico Tb Eutrófico léptico,ondulado,-,-,terço médio
L32,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico nitossólico, textura muito argilosa, A moderado",ondulado,-,16,terço médio
L33,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,-,13,terço inferior
L34,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",suave ondulado,-,5,terço superior
L35,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",plano,-,2,topo
L36,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Neossolo Regolítico Ta Eutrófico típico, A chernozêmico",ondulado,-,09-45,terço superior
L37,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,-,14,terço médio
L38,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",suave ondulado,-,4,terço superior
L39,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",plano,-,2,terço superior
L40,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",plano,-,1,topo
L41,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,-,16,cabeceira
L42,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,-,9,terço inferior
L43,xx-xx-2011,EPSG:29192,473.649,7.394.421,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,548,-,terço superior
