observacao_id,relevo_elevacao,coord_x,coord_y,taxon_sibcs_2006,relevo_local,relevo_declividade,relevo_posicao
B1,,,,"Latossolo Vermelho Distrófico típico, textura média/argilosa, A moderado",suave ondulado,4,Topo
B2,609,481641,7457538,"Latossolo Vermelho Distrófico típico, textura média, A moderado",plano,1,Topo
B3,618,480370,7455643,"Larossolo Vermelho Distrófico típico, textura média, A Moderado",suave ondulado,5,Terço superior
B4,620,480711,7454363,"Latossolo Vermelho Distrófico típico, textura média, A moderado",plano,2,Topo
B5,618,481993,7450344,"Latossolo Vermelho Eutroférrico típico, textura argilosa, A moderado",suave ondulado,5,Topo
B6,454,464621,7450098,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",plano,2,Terço superior
B7,421,469859,7455447,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",plano,,Topo
B8,427,471780,7453316,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",suave ondulado,6,Terço superior
B9,461,471379,7457618,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",suave ondulado,5,Terço superior
B10,404,467374,7460831,"Latossolo Vemelho Eutroférrico típico, textura muito argilosa, A moderado",plano,1,Topo
B11,413,470507,7463681,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",plano,1,Topo
B12,553,477080,7460197,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",plano,1,Topo
B13,560,477000,7458000,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",suave ondulado,6,Topo
B14,560,482722,7468918,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,15,Terço inferior
B15,575,482376,7461944,"Chernossolo Háplico Férrico típico, textura argilosa, A chernozêmico",plano,1,Topo
B16,589,479180,7438038,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",suave ondulado,8,Terço superior
B17,543,478690,7442400,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",suave ondulado,7,Terço médio
B18,461,481401,7464356,"Chernossolo Háplico Férrico típico, textura argilosa, A chernozêmico",ondulado,14,Terço médio
B19,510,,,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",suave ondulado,7,Terço médio
B20,525,,,"Latossolo Vermelho Distrófico típico, textura média, A moderado",plano,1,Topo
B21,505,,,"Neossolo Regolítico Eutrófico típico, textura argilosa, A moderado",ondulado,18,Terço médio-inferior
B22,505,,,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,14,Terço médio-inferior
B23,480,,,"Latossolo Vermelho Distrófico típico, textura argilosa, A moderado",suave ondulado,4,Topo
B24,330,,,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",suave ondulado,5,Terço superior
B25,587,,,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,10,Terço médio-inferior
